date,manufacturer,carrier,fatalities,location
12/23/1978,McDonnell,,108,"Tyrrhenian Sea, off Palermo, Italy"
9/30/1973,Tupolev,,108,"Yekaterinburg, Russian SFSR, USSR"
4/10/1973,Vickers,,108,"Reinach, Switzerland"
4/22/1974,Boeing,,107,"Negara, Bali, Indonesia"
11/16/1967,Ilyushin,,107,"Aramil, Russian SFSR, USSR"
3/16/1962,Lockheed,,107,
12/22/1973,Sud,,106,"Tétouan, Morocco"
2/3/2005,Boeing,,104,"Pamir Mts., Afghanistan"
2/2/1998,McDonnell,,104,"Mount Balatukan, Philippines"
12/19/1997,Boeing,,104,"Musi River, Indonesia"
1/7/1972,Sud,,104,"Ibiza, Spain"
2/1/1963,Vickers,,104,"Ankara, Turkey"
5/12/2010,Airbus,,103,"Tripoli, Libya"
1/1/2007,Boeing,,102,"Makassar Strait, Indonesia"
3/6/2003,Boeing,,102,"Tamanrasset, Algeria"
2/15/1970,McDonnell,,102,"Santo Domingo, Dominican Republic"
12/11/1998,Airbus,,101,"Surat Thani, Thailand"
12/29/1972,Lockheed,,101,"Everglades, near Tamiami, Florida, US"
8/31/1972,Ilyushin,,101,"Verkhneuralsky District, Russian SFSR, USSR"
8/9/1970,Lockheed,,101,"Cusco, Peru"
6/3/1963,Douglas,,101,"Annette Island, Alaska, US"
3/20/1969,Ilyushin,,100,"Aswan, Egypt"
10/31/1996,Fokker,,99,"São Paulo, Brazil"
11/16/1981,Tupolev,,99,"Norilsk, Russian SFSR, USSR"
8/14/1958,Lockheed,,99,"Shannon, Ireland"
12/6/1995,Tupolev,,98,"Khabarovsk Krai, Russia"
9/1/1966,Bristol,,98,"Komenda, SR Slovenia, Yugoslavia"
1/30/1974,Boeing,,97,"Pago Pago, American Samoa"
7/25/1971,Tupolev,,97,"Irkutsk, Russian SFSR, USSR"
11/27/1962,Boeing,,97,"San Juan de Miraflores, Peru"
10/29/2006,Boeing,,96,"Abuja, Nigeria"
1/13/1977,Tupolev,,96,"Almaty, Kazakh SSR, USSR"
10/12/1976,Sud,,95,"Mumbai, India"
3/1/1962,Boeing,,95,"Jamaica Bay, New York, US"
1/28/2002,Boeing,,94,"Cumbal Volcano, Colombia"
5/3/1985,Tupolev,,94,"Zolochiv, Ukrainian SSR, USSR"
7/7/1962,McDonnell,,94,"Junnar, India"
1/18/1986,Sud,,93,"Flores, Guatemala"
12/7/1983,Boeing,,93,"Madrid, Spain"
2/14/1990,Airbus,,92,"Bangalore, India"
12/1/1974,Boeing,,92,"Mt. Weather, Virginia, US"
2/6/1970,Ilyushin,,92,"Bulungur District, Uzbek SSR, USSR"
12/24/1971,Lockheed,,91,"Puerto Inca, Peru"
1/25/2010,Boeing,,90,"Na'ameh, Lebanon"
9/16/2007,McDonnell,,90,"Phuket, Thailand"
8/30/1983,Tupolev,,90,"Almaty, Kazakh SSR, USSR"
7/6/1982,Ilyushin,,90,"Mendeleyevo, Russian SFSR, USSR"
12/8/1969,Douglas,,90,"Keratea, Greece"
7/31/1973,McDonnell,,89,"Boston, Massachusetts, US"
9/14/2008,Boeing,,88,"Perm, Russia"
1/31/2000,McDonnell,,88,"Anacapa Island, California, US"
6/3/1967,Douglas,,88,"Mont Canigou, France"
1/20/1992,Airbus,,87,"Barr, France"
3/14/1980,Ilyushin,,87,"Warsaw, Poland"
11/20/1969,Vickers,,87,"Lagos, Nigeria"
2/6/1965,Douglas,,87,"San José Volcano, Chile"
9/2/1964,Ilyushin,,87,"Yuzhno Sakhalinsk, Russian SFSR, USSR"
8/13/1973,Sud,,86,"A Coruña, Spain"
6/14/1972,Douglas,,86,"New Delhi, India"
9/3/1962,Tupolev,,86,"Yelabuga, Tatar ASSR, Russian SFSR, USSR"
12/15/1997,Tupolev,,85,"Sharjah, United Arab Emirates"
5/3/1968,Lockheed,,85,"Dawson, Texas, US"
3/1/1964,Lockheed,,85,"Genoa, Nevada, US"
8/27/1992,Tupolev,,84,"Ivanovo Oblast, Russia"
2/8/1965,Douglas,,84,"Jones Beach, New York, US"
10/31/2000,Boeing,,83,"Dayuan District, Taiwan"
3/5/1993,Fokker,,83,"Petrovec, Republic of Macedonia"
8/31/1987,Boeing,,83,"Phuket, Thailand"
9/9/1969,McDonnell,,83,"Fairland, Indiana, US"
2/29/1968,Ilyushin,,83,"Chunsky District, Russian SFSR, USSR"
4/22/1966,Lockheed,,83,"Ardmore, Oklahoma, US"
2/29/1964,Bristol,,83,"Glungezer mountain, Austria"
9/10/1961,Douglas,,83,"Shannon, Ireland"
8/28/1993,Yakovlev,,82,"Khorog, Tajikistan"
8/31/1986,McDonnell,,82,"Cerritos, California, US"
7/19/1967,Boeing,,82,"Hendersonville, North Carolina, US"
11/24/1966,Ilyushin,,82,"Bratislava, Czechoslovakia"
12/8/1963,Boeing,,81,"Elkton, Maryland, US"
7/28/1962,Antonov,,81,"Gagra District, Abkhaz ASSR, Georgian SSR, USSR"
8/29/1998,Tupolev,,80,"Quito, Ecuador"
7/1/1994,Fokker,,80,"Tidjikja, Mauritania"
7/24/1985,Douglas,,80,"Leticia, Colombia"
10/2/1964,Douglas,,80,"Mt. Alcazaba, Spain"
9/4/1963,Sud,,80,"Dürrenäsch, Switzerland"
9/19/1960,Douglas,,80,"Barrigada, Guam, US"
10/17/1958,Tupolev,,80,"Vurnarsky District, Chuvash ASSR, Russian SFSR, USSR"
3/12/1950,Avro,,80,"Sigingstone, Wales, UK"
7/27/1989,McDonnell,,79,"Tripoli, Libya"
2/24/1973,Ilyushin,,79,"Khujand, Tajik SSR, USSR"
6/4/1969,Boeing,,79,"El Carmen, Mexico"
8/11/1957,Douglas,,79,"Issoudun, Quebec, Canada"
1/13/1982,Boeing,,78,
4/4/1974,Douglas,,78,"Francistown, Botswana"
7/22/1973,Boeing,,78,"Papeete, Tahiti, French Polynesia"
5/23/1971,Tupolev,,78,"Omišalj, SR Croatia, Yugoslavia"
9/1/1961,Lockheed,,78,"Hinsdale, Illinois, US"
1/9/2011,Boeing,,77,"Urmia, Iran"
2/15/1977,Ilyushin,,77,"Mineralnye Vody, Russian SFSR, USSR"
11/8/1961,Lockheed,,77,"Richmond, Virginia, US"
9/12/1961,Sud,,77,"Rabat, Morocco"
7/28/1976,Ilyushin,,76,"Bratislava, Czechoslovakia"
5/26/2003,Yakovlev,,75,"Maçka, Trabzon, Turkey"
1/8/2003,Avro,,75,"Diyarbakır, Turkey"
5/5/1998,Boeing,,75,"Andoas, Peru"
3/23/1994,Airbus,,75,"Mezhdurechensk, Russia"
9/9/1988,Tupolev,,75,"Lam Luk Ka District, Thailand"
10/30/1975,McDonnell,,75,"Prague, Czechoslovakia"
12/22/1974,McDonnell,,75,"Maturín, Venezuela"
11/14/1970,McDonnell,,75,"Ceredo, West Virginia, US"
7/8/2011,Boeing,,74,"Kisangani, DR Congo"
10/10/1997,McDonnell,,74,"Nuevo Berlín, near Fray Bentos, Uruguay"
9/26/1969,Douglas,,74,"Cordillera Kimsa Cruz, Bolivia"
6/20/1956,Lockheed,,74,"New York Bight, Atlantic Ocean, area of Jones Beach, New York, US"
1/25/1990,Boeing,,73,"Cove Neck, New York, US"
10/31/1979,McDonnell,,73,"Mexico City, Mexico"
3/16/1978,Tupolev,,73,"Vratsa Province, Bulgaria"
2/15/1961,Boeing,,73,"Brussels, Belgium"
12/12/1986,Tupolev,,72,"Bohnsdorf, East Germany"
4/4/1977,McDonnell,,72,"New Hope, Georgia, US"
11/28/1976,Tupolev,,72,"Dmitrovsky District, Moscow Oblast, Russian SFSR, USSR"
9/11/1974,McDonnell,,72,"Charlotte, North Carolina, US"
12/8/1967,Douglas,,72,"Cordillera Blanca, Peru"
6/4/1967,Canadair,,72,"Stockport, England, UK"
7/12/1961,Ilyushin,,72,"Bouskoura, Morocco"
2/11/2018,Antonov,,71,"near Stepanovskoye, Moscow Oblast, Russia"
11/28/2016,Avro,,71,"Medellin, Colombia"
7/1/2002,Tupolev,,71,"Überlingen, Germany"
12/3/1995,Boeing,,71,"Douala, Cameroon"
12/25/1976,Boeing,,71,"Bangkok, Thailand"
12/17/1997,Yakovlev,,70,"Pierian Mountains, Greece"
10/2/1996,Boeing,,70,"Lima, Peru"
7/24/1992,Vickers,,70,"Ambon Island, Indonesia"
10/20/1986,Tupolev,,70,"Samara Oblast, Russian SFSR, USSR"
1/21/1985,Lockheed,,70,"Reno, Nevada, US"
12/21/1980,Sud,,70,"Riohacha, Colombia"
11/20/1967,Convair,,70,"Hebron, Kentucky, US"
8/16/1991,Boeing,,69,"Imphal, India"
5/27/1977,Ilyushin,,69,"Boyeros, Cuba"
11/10/1971,Vickers,,69,"Mentawai Strait, off Padang, Indonesia"
11/3/1965,Douglas,,69,[nb 27]
11/4/2010,ATR,,68,"Guasimal, Cuba"
10/31/1994,ATR,,68,"Roselawn, Indiana, US"
7/26/1993,Boeing,,68,"Mokpo, South Korea"
9/3/1976,Lockheed,,68,"Lajes, Azores, Portugal"
3/5/1973,McDonnell,,68,"La Planche, France"
7/3/1971,NAMC,,68,"Hakodate, Japan"
6/26/1959,Lockheed,,68,"Busto Arsizio, Italy"
10/27/1975,Convair,,67,"Cordillera Mts., La Paz Region, Bolivia"
4/4/1963,Ilyushin,,67,"Rybno-Slobodsky District, Tatar ASSR, Russian SFSR, USSR"
7/19/1961,Douglas,,67,"Buenos Aires, Argentina"
2/18/2018,ATR,,66,"Mount Dena, Zagros Mountains near Semirom, Iran"
5/19/2016,Airbus,,66,Mediterranean Sea
10/12/1994,Fokker,,66,"Natanz, Iran"
1/26/1974,Fokker,,66,"Cumaovası, Turkey"
2/19/1973,Tupolev,,66,"Prague, Czechoslovakia"
10/6/1955,Douglas,,66,"Medicine Bow Peak, Wyoming, US"
3/22/1955,Douglas,,66,"Waianae Range, Oahu, Hawaii, US"
8/24/2008,Boeing,,65,"Bishkek, Kyrgyzstan"
8/31/1999,Boeing,,65,"Palermo, Argentina"
9/3/1997,Tupolev,,65,"Phnom Penh, Cambodia"
8/9/1995,Boeing,,65,"San Vicente volcano, El Salvador"
3/31/1971,Antonov,,65,"Lutuhyne, Ukrainian SSR, USSR"
2/3/1959,Lockheed,,65,"East River, New York, US"
9/9/1976,Antonov,,64,"Black Sea, near Anapa, Russian SFSR, USSR"
3/4/1966,Douglas,,64,
1/4/1965,Ilyushin,,64,"Almaty, Kazakh SSR, USSR"
8/15/1958,Tupolev,,64,"Chita, Russian SFSR, USSR"
2/5/1991,Lockheed,,63,"Mount Othrys, Greece"
8/29/1979,Tupolev,,63,"Kirsanov, Russian SFSR, USSR"
